#SampleID,SampleType,BatchType,CollectionMonth,CollectionDay,CollectionYear,Site,Roost,RoostMonth,RoostDay,RoostYear
6212017EGA1,sample,single,6,21,2017,Egner,A,6,14,2017
6212017EGA2,sample,single,6,21,2017,Egner,A,6,14,2017
6212017EGA3,sample,single,6,21,2017,Egner,A,6,14,2017
6212017EGA4,sample,single,6,21,2017,Egner,A,6,14,2017
6212017EGB1,sample,single,6,21,2017,Egner,B,6,14,2017
6212017EGB10,sample,single,6,21,2017,Egner,B,6,14,2017
6212017EGB2,sample,single,6,21,2017,Egner,B,6,14,2017
6212017EGB3,sample,single,6,21,2017,Egner,B,6,14,2017
6212017EGB4,sample,single,6,21,2017,Egner,B,6,14,2017
6212017EGB5,sample,single,6,21,2017,Egner,B,6,14,2017
6212017EGB6,sample,single,6,21,2017,Egner,B,6,14,2017
6212017EGB7,sample,single,6,21,2017,Egner,B,6,14,2017
6212017EGB8,sample,single,6,21,2017,Egner,B,6,14,2017
6212017EGB9,sample,single,6,21,2017,Egner,B,6,14,2017
6212017EGC1,sample,single,6,21,2017,Egner,C,6,14,2017
6212017EGC10,sample,single,6,21,2017,Egner,C,6,14,2017
6212017EGC2,sample,single,6,21,2017,Egner,C,6,14,2017
6212017EGC3,sample,single,6,21,2017,Egner,C,6,14,2017
6212017EGC4,sample,single,6,21,2017,Egner,C,6,14,2017
6212017EGC5,sample,single,6,21,2017,Egner,C,6,14,2017
6212017EGC6,sample,single,6,21,2017,Egner,C,6,14,2017
6212017EGC7,sample,single,6,21,2017,Egner,C,6,14,2017
6212017EGC8,sample,single,6,21,2017,Egner,C,6,14,2017
6212017EGC9,sample,single,6,21,2017,Egner,C,6,14,2017
6212017EGD1,sample,single,6,21,2017,Egner,D,6,14,2017
6212017EGD10,sample,single,6,21,2017,Egner,D,6,14,2017
6212017EGD2,sample,single,6,21,2017,Egner,D,6,14,2017
6212017EGD3,sample,single,6,21,2017,Egner,D,6,14,2017
6212017EGD4,sample,single,6,21,2017,Egner,D,6,14,2017
6212017EGD5,sample,single,6,21,2017,Egner,D,6,14,2017
6212017EGD6,sample,single,6,21,2017,Egner,D,6,14,2017
6212017EGD7,sample,single,6,21,2017,Egner,D,6,14,2017
6212017EGD8,sample,single,6,21,2017,Egner,D,6,14,2017
6212017EGD9,sample,single,6,21,2017,Egner,D,6,14,2017
6212017EgnerPoolC1,sample,pool,6,21,2017,Egner,C,6,14,2017
6212017EgnerPoolC2,sample,pool,6,21,2017,Egner,C,6,14,2017
6212017EgnerPoolC3,sample,pool,6,21,2017,Egner,C,6,14,2017
6212017EgnerPoolC4,sample,pool,6,21,2017,Egner,C,6,14,2017
6212017EgnerPoolD1,sample,pool,6,21,2017,Egner,D,6,14,2017
6212017EgnerPoolD2,sample,pool,6,21,2017,Egner,D,6,14,2017
6212017EgnerPoolD3,sample,pool,6,21,2017,Egner,D,6,14,2017
6212017EgnerPoolD4,sample,pool,6,21,2017,Egner,D,6,14,2017
6212017HBA1,sample,single,6,21,2017,HickoryBottoms,A,6,7,2017
6212017HBA10,sample,single,6,21,2017,HickoryBottoms,A,6,7,2017
6212017HBA2,sample,single,6,21,2017,HickoryBottoms,A,6,7,2017
6212017HBA3,sample,single,6,21,2017,HickoryBottoms,A,6,7,2017
6212017HBA4,sample,single,6,21,2017,HickoryBottoms,A,6,7,2017
6212017HBA5,sample,single,6,21,2017,HickoryBottoms,A,6,7,2017
6212017HBA6,sample,single,6,21,2017,HickoryBottoms,A,6,7,2017
6212017HBA7,sample,single,6,21,2017,HickoryBottoms,A,6,7,2017
6212017HBA8,sample,single,6,21,2017,HickoryBottoms,A,6,7,2017
6212017HBA9,sample,single,6,21,2017,HickoryBottoms,A,6,7,2017
6212017HBB1,sample,single,6,21,2017,HickoryBottoms,B,6,7,2017
6212017HBB10,sample,single,6,21,2017,HickoryBottoms,B,6,7,2017
6212017HBB2,sample,single,6,21,2017,HickoryBottoms,B,6,7,2017
6212017HBB3,sample,single,6,21,2017,HickoryBottoms,B,6,7,2017
6212017HBB4,sample,single,6,21,2017,HickoryBottoms,B,6,7,2017
6212017HBB5,sample,single,6,21,2017,HickoryBottoms,B,6,7,2017
6212017HBB6,sample,single,6,21,2017,HickoryBottoms,B,6,7,2017
6212017HBB7,sample,single,6,21,2017,HickoryBottoms,B,6,7,2017
6212017HBB8,sample,single,6,21,2017,HickoryBottoms,B,6,7,2017
6212017HBB9,sample,single,6,21,2017,HickoryBottoms,B,6,7,2017
6212017HBC1,sample,single,6,21,2017,HickoryBottoms,C,6,7,2017
6212017HBC10,sample,single,6,21,2017,HickoryBottoms,C,6,7,2017
6212017HBC2,sample,single,6,21,2017,HickoryBottoms,C,6,7,2017
6212017HBC3,sample,single,6,21,2017,HickoryBottoms,C,6,7,2017
6212017HBC4,sample,single,6,21,2017,HickoryBottoms,C,6,7,2017
6212017HBC5,sample,single,6,21,2017,HickoryBottoms,C,6,7,2017
6212017HBC6,sample,single,6,21,2017,HickoryBottoms,C,6,7,2017
6212017HBC7,sample,single,6,21,2017,HickoryBottoms,C,6,7,2017
